codempre	banco	bnk	tipo	TipoCompetencia	TipoCompetencia2
00001	BANCO DE CREDITO DEL PERÚ	CREDITO	Banco	1. Bancos 4TOP	1. Bancos 4TOP
00002	BANCO INTERNACIONAL DEL PERÚ	INTERBANK	Banco	1. Bancos 4TOP	1. Bancos 4TOP
00003	BANCO POPULAR DEL PERÚ	POPULAR	Banco	4. Otros	4. Otros
00004	SCOTIABANK PERU S A A	SCOTIABANK	Banco	1. Bancos 4TOP	0. Scotiabank
00006	B B V A BANCO CONTINENTAL	BBVA CONTINENTAL	Banco	1. Bancos 4TOP	1. Bancos 4TOP
00014	MUTUAL CHICLAYO	MUTUAL CHICLAYO	Mutual	4. Otros	4. Otros
00022	BANCO DE COMERCIO	COMERCIO	Banco	2. Bancos de Consumo	2. Otros Bancos
00025	BANCO REPUBLICA EN LIQUIDACION	REPUBLICA	Banco	4. Otros	4. Otros
00026	BANCO LATINO S A EN LIQUIDACION	LATINO EN LIQUIDAC	Banco	4. Otros	4. Otros
00027	BANCO CCC DEL PERU	CCC DEL PERU	Banco	4. Otros	4. Otros
00052	CITIBANK DEL PERU S A	CITIBANK	Banco	2. Bancos No Peer	2. Otros Bancos
00055	BANCO INTERAMERICANO DE FINANZAS	BANCO INTERAMERICANO	Banco	2. Bancos No Peer	2. Otros Bancos
00061	BANCO DE LA NACION	NACION	Banco	2. Banco de la Nacion	2. Banco de la Nacion
00066	BANCO HIPOTECARIO DEL PERU	HIPOTECARIO	Banco	4. Otros	4. Otros
00068	BANCO NUEVO MUNDO	NOVOBANC	Banco	4. Otros	4. Otros
00069	LATINO LEASING	LATINO LEASING	Arrendamiento Financiero	4. Otros	4. Otros
00072	CREDISCOTIA FINANCIERA S A	CREDISCOTIA	Financiera	0. Crediscotia	0. Crediscotia
00073	BANCO RIPLEY PERU S A	RIPLEY	Banco	2. Bancos Retail	2. Bancos Retail
00076	SOLUCIÓN EMPRESA ADMINISTRADORA HIPOTECARIA	SOLUCIÓN ADM HIPOT	Administradora Hipotecaria	4. Otros	4. Otros
00082	BANCO FINANCIERO DEL PERÚ	FINANCIERO	Banco	2. Bancos de Consumo	2. Otros Bancos
00099	CORPORACION FINANCIERA DE DESARROLLO S.A.	COFIDE	Banco	4. Otros	4. Otros
00100	AMÉRIKA FINANCIERA S A	AMÉRIKA FINANCIERA	Financiera	4. Otros	4. Otros
00101	CAJA MUNICIPAL DE AHORRO Y CREDITO DE SULLANA S A	CMAC SULLANA	Caja Municipal de Ahorro y Crédito	3. Otras CMAC	3. CMAC
00102	CAJA MUNICIPAL DE CREDITO POPULAR DE LIMA	CMCP LIMA	Caja Municipal de Ahorro y Crédito	3. Otras CMAC	3. CMAC
00103	CAJA MUNICIPAL DE AHORRO Y CREDITO PIURA	CMAC PIURA	Caja Municipal de Ahorro y Crédito	3. CMAC Piura	3. CMAC
00104	CAJA MUNICIPAL DE AHORRO Y CREDITO DE AREQUIPA	CMAC AREQUIPA	Caja Municipal de Ahorro y Crédito	3. CMAC AQP	3. CMAC
00106	CAJA MUNICIPAL DE AHORRO Y CREDITO CUSCO S A	CMAC CUSCO S A	Caja Municipal de Ahorro y Crédito	3. Otras CMAC	3. CMAC
00107	CAJA MUNICIPAL DE AHORRO Y CREDITO HUANCAYO	CMAC HUANCAYO	Caja Municipal de Ahorro y Crédito	3. Otras CMAC	3. CMAC
00108	CAJA MUNICIPAL DE AHORRO Y CREDITO ICA	CMAC ICA	Caja Municipal de Ahorro y Crédito	3. Otras CMAC	3. CMAC
